"";"ID";"Education";"number_survey"
"1";51624;"High School";1
"2";51625;NA;1
"3";51630;"Some College";1
"4";51638;NA;1
"5";51646;NA;1
"6";51647;"College Grad";1
"7";51654;"Some College";1
"8";51656;"College Grad";1
"9";51657;"9 - 11th Grade";1
"10";51659;NA;1
"11";51666;"High School";1
"12";51667;"Some College";1
"13";51671;NA;1
"14";51677;"High School";1
"15";51678;"High School";1
"16";51679;NA;1
"17";51685;"College Grad";1
"18";51691;"High School";1
"19";51692;"College Grad";1
"20";51694;"Some College";1
"21";51695;NA;1
"22";51701;"9 - 11th Grade";1
"23";51702;"9 - 11th Grade";1
"24";51707;"8th Grade";1
"25";51710;"College Grad";1
"26";51711;"8th Grade";1
"27";51715;"9 - 11th Grade";1
"28";51718;"College Grad";1
"29";51719;NA;1
"30";51720;NA;1
"31";51722;NA;1
"32";51723;"Some College";1
"33";51724;"Some College";1
"34";51731;"High School";1
"35";51732;"High School";1
"36";51734;"High School";1
"37";51741;"Some College";1
"38";51743;NA;1
"39";51745;"College Grad";1
"40";51748;"8th Grade";1
"41";51752;"8th Grade";1
"42";51753;NA;1
"43";51754;"High School";1
"44";51755;NA;1
"45";51758;NA;1
"46";51760;"9 - 11th Grade";1
"47";51761;"8th Grade";1
"48";51764;"College Grad";1
"49";51765;NA;1
"50";51767;NA;1
"51";51768;"College Grad";1
"52";51771;NA;1
"53";51772;"Some College";1
"54";51774;"8th Grade";1
"55";51776;"High School";1
"56";51780;"College Grad";1
"57";51781;"College Grad";1
"58";51788;NA;1
"59";51789;NA;1
"60";51790;"9 - 11th Grade";1
"61";51794;NA;1
"62";51799;"High School";1
"63";51801;"College Grad";1
"64";51803;"9 - 11th Grade";1
"65";51804;"High School";1
"66";51809;"College Grad";1
"67";51810;NA;1
"68";51813;NA;1
"69";51814;NA;1
"70";51819;"9 - 11th Grade";1
"71";51828;"9 - 11th Grade";1
"72";51829;"College Grad";1
"73";51832;"College Grad";1
"74";51840;NA;1
"75";51845;"High School";1
"76";51846;"High School";1
"77";51849;"Some College";1
"78";51851;"8th Grade";1
"79";51856;"9 - 11th Grade";1
"80";51857;"College Grad";1
"81";51861;"High School";1
"82";51862;NA;1
"83";51863;"Some College";1
"84";51868;"Some College";1
"85";51875;"9 - 11th Grade";1
"86";51888;"College Grad";1
"87";51892;"9 - 11th Grade";1
"88";51893;"9 - 11th Grade";1
"89";51896;NA;1
"90";51898;"College Grad";1
"91";51899;"9 - 11th Grade";1
"92";51905;"9 - 11th Grade";1
"93";51906;"Some College";1
